text,predicted_label,confidence,positive_probability,negative_probability
Aktia forecasts Finland 's inflation at 1.1 % in 2010 .,NEGATIVE,0.9303,0.0697,0.9303
Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems .,POSITIVE,0.9982,0.9982,0.0018
"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .",NEGATIVE,0.9855,0.0145,0.9855
"ALEXANDRIA , Va. , Dec. 17 -- Reijo Salovaara , Nastola , Finland , has developed a veneer cutter .",NEGATIVE,0.9446,0.0554,0.9446
"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .",NEGATIVE,0.9877,0.0123,0.9877
"ALEXANDRIA , Va. , Dec. 22 -- United States Patent no. 7,854,608 , issued on Dec. 21 , was assigned to Outotec Oyj ( Espoo , Finland ) .",NEGATIVE,0.9866,0.0134,0.9866
"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) .",NEGATIVE,0.9892,0.0108,0.9892
"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",POSITIVE,0.9956,0.9956,0.0044
"ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device .",POSITIVE,0.9409,0.9409,0.0591
"ALEXANDRIA , Va. , Oct. 23 -- Hans-Otto Scheck of Espoo , Finland , has developed a method of identifying remote radio units in a communication system .",POSITIVE,0.9862,0.9862,0.0138
"ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) .",NEGATIVE,0.9421,0.0579,0.9421
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",NEGATIVE,0.9909,0.0091,0.9909
"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",NEGATIVE,0.9852,0.0148,0.9852
"Also Finnish Industry Investment , a government-owned investment company , will participate in the project .",POSITIVE,0.9935,0.9935,0.0065
"Also in Latvia , we act as a partner for bakery customers in both production and product development .",POSITIVE,0.9648,0.9648,0.0352
"Also Ruukki Construction , Rautaruukki 's construction division , is initiating employer-employee negotiations at its sites in Alaj+ñrvi , Vimpeli and Per+ñsein+ñjoki in Finland .",POSITIVE,0.981,0.981,0.019
"Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .",POSITIVE,0.995,0.995,0.005
"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",NEGATIVE,0.7653,0.2347,0.7653
"An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan .",POSITIVE,0.9838,0.9838,0.0162
An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,NEGATIVE,0.9862,0.0138,0.9862
An EU law on the issue may be introduced around 2010 .,NEGATIVE,0.8322,0.1678,0.8322
Another firm Air Liquide was exempted because it left the market in 1998 .,NEGATIVE,0.9985,0.0015,0.9985
"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .",POSITIVE,0.6413,0.6413,0.3587
"Approximately SEK 166 million in repayments has been demanded for overcharging in the Stockholm area , with the remaining SEK 87 million taken from the Western coast , the inspectorate said .",NEGATIVE,0.9888,0.0112,0.9888
Arena Partners Oy is a development company for electronic business .,POSITIVE,0.9862,0.9862,0.0138
"As a condition to the deal , Savcor Alfa has to have bought Photonium and Akseli Lahtinen Inc. 's business operations prior to the deal .",NEGATIVE,0.9782,0.0218,0.9782
"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 .",NEGATIVE,0.7675,0.2325,0.7675
"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",POSITIVE,0.5878,0.5878,0.4122
"As part of the reorganisation , Pohjola Insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of October 2008 .",POSITIVE,0.9869,0.9869,0.0131
"As part of the reorganization , Kauko-Telko Ltd will be divided into Telko Ltd , Leipurin Ltd , Hamina Terminal Services Ltd and Kaukomarkkinat Ltd. .",NEGATIVE,0.9762,0.0238,0.9762
Aspo 's Group structure and business operations are continually developed without any predefined schedules .,POSITIVE,0.9971,0.9971,0.0029
Aspo serves demanding business-to-business customers .,NEGATIVE,0.9211,0.0789,0.9211
"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville .",NEGATIVE,0.9433,0.0567,0.9433
"At some point , it will spread also to Iran and Iraq .",POSITIVE,0.9859,0.9859,0.0141
"At the end of last week , Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital .",NEGATIVE,0.9908,0.0092,0.9908
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",NEGATIVE,0.9779,0.0221,0.9779
"At the moment , there are approximately 20 Vianor sales offices in Russia .",POSITIVE,0.6766,0.6766,0.3234
Automation makes it possible to conduct several tests simultaneously .,POSITIVE,0.9911,0.9911,0.0089
"Barclays Plc ( LSE : BARC ) ( NYSE : BCS ) , Credit Agricole SA ( EPA : ACA ) ( CAGR .",NEGATIVE,0.9706,0.0294,0.9706
"Based on the design of previous handsets , the Nokia E72 and Nokia E63 this Symbian-based model is promised to offer direct access to over 90 per cent of the world s corporate email through Mail for Exchange and IBM Lotus Notes Traveler .",POSITIVE,0.9876,0.9876,0.0124
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,POSITIVE,0.8578,0.8578,0.1422
Basware finances the acquisition with a bank loan .,POSITIVE,0.846,0.846,0.154
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",NEGATIVE,0.9899,0.0101,0.9899
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay solution suite .",NEGATIVE,0.9897,0.0103,0.9897
Basware offers full support for all SAP versions starting from SAP 4.5 .,POSITIVE,0.7585,0.7585,0.2415
"Beef imports fell slightly from 2006 , to 14mn kilos .",NEGATIVE,0.9967,0.0033,0.9967
Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK .,POSITIVE,0.953,0.953,0.047
"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .",POSITIVE,0.9932,0.9932,0.0068
Bluewin Security is available as a monthly subscription .,NEGATIVE,0.9718,0.0282,0.9718
"Blyk is launching first in the UK market in mid-2007 , with other markets to follow .",POSITIVE,0.986,0.986,0.014
"Body ES Vostok also owns stakes in power sales companies MosenergosbytBody ( RTS : MSSB ) ( 50.9 % ) , Altaienergosbyt ( 100 % ) , Saratovenergo ( RTS : SARE ) Body ( 48.36 % ) and Tambov Power Sales Company ( RTS : TASB ) ( 49.01 % ) , all ofBodywhich it received from the distribution balance .",NEGATIVE,0.9823,0.0177,0.9823
Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .,NEGATIVE,0.9937,0.0063,0.9937
"Byline : Tim Moran Cellular phone giant Nokia Corp. is offering $ 8.1 billion for digital map supplier NAVTEQ Corp. , of Chicago .",NEGATIVE,0.9874,0.0126,0.9874
Capital base and capital adequacy measurement is based on approaches under Basel II .,POSITIVE,0.9202,0.9202,0.0798
"CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital .",POSITIVE,0.9942,0.9942,0.0058
"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .",NEGATIVE,0.5136,0.4864,0.5136
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",NEGATIVE,0.942,0.058,0.942
"Cargotec 's brands , Hiab , Kalmar and MacGREGOR , are global market leaders in their fields and their solutions are used on land and at sea - wherever cargo is on the move .",POSITIVE,0.9955,0.9955,0.0045
"Cencorp would focus on the development , manufacture and marketing of standard products for production automation .",NEGATIVE,0.8994,0.1006,0.8994
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .,NEGATIVE,0.8352,0.1648,0.8352
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,NEGATIVE,0.9946,0.0054,0.9946
Closing of such transaction took place today .,POSITIVE,0.7835,0.7835,0.2165
"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights .",POSITIVE,0.6196,0.6196,0.3804
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",POSITIVE,0.7762,0.7762,0.2238
com and possibly also through photo-msn .,NEGATIVE,0.9949,0.0051,0.9949
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense .",NEGATIVE,0.6781,0.3219,0.6781
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .,POSITIVE,0.9977,0.9977,0.0023
Connectivity Services include outsourced Scan and Capture which transfers paper invoices into electronic format and Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,POSITIVE,0.8787,0.8787,0.1213
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",NEGATIVE,0.9416,0.0584,0.9416
"Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Closed",NEGATIVE,0.9926,0.0074,0.9926
Country : ; Germany Sector : Construction-Real Estate ; Machinery-Engineering Target : Caverion GmbH Buyer : YIT Oyj Deal size in USD : 90.3 m Type : Corporate acquisition Status : Agreed,NEGATIVE,0.8855,0.1145,0.8855
"Cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .",POSITIVE,0.8983,0.8983,0.1017
"Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services , as well as rental and sale of modular space .",POSITIVE,0.933,0.933,0.067
"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said .",POSITIVE,0.9341,0.9341,0.0659
"Currently , the plant operates on full capacity .",POSITIVE,0.9986,0.9986,0.0014
Danske Bank is Denmark 's largest bank with 3.5 million customers .,POSITIVE,0.9986,0.9986,0.0014
Decisions are to be made as quickly as possible .,NEGATIVE,0.6793,0.3207,0.6793
Deliveries by Outotec will take place over 30 months .,NEGATIVE,0.9811,0.0189,0.9811
"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",NEGATIVE,0.892,0.108,0.892
Delivery is due in the second half of 2011 .,POSITIVE,0.9674,0.9674,0.0326
"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",POSITIVE,0.982,0.982,0.018
"Depending on the market situation , such projects are sold after 1 to 3 years after completion .",NEGATIVE,0.9974,0.0026,0.9974
"Due to Pirkka beer , Olvi 's brewery in Iisalmi is moving to 7-day , 24-hour work shifts .",NEGATIVE,0.9677,0.0323,0.9677
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",NEGATIVE,0.9281,0.0719,0.9281
Efore has decided to establish a company for eletric vehicle ( EV ) business in China .,POSITIVE,0.9289,0.9289,0.0711
"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region .",POSITIVE,0.9982,0.9982,0.0018
"Elcoteq SE Stock Exchange Announcement February 4 , 2009 at 10.00 am ( EET ) Elcoteq will publish its financial statements bulletin 2008 on Wednesday , February 11 , at 9.00 am ( EET ) .",NEGATIVE,0.9212,0.0788,0.9212
Electricity consumption grows with higher frequencies .,POSITIVE,0.9695,0.9695,0.0305
Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,POSITIVE,0.9942,0.9942,0.0058
"Elsewhere , the tendency is towards more developed packaging than before .",NEGATIVE,0.9843,0.0157,0.9843
"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009 .",NEGATIVE,0.7702,0.2298,0.7702
Eriikka S+Âderstr+Âm has previously held several positions in finance and control at Nokia Networks including acting as the Business Group Controller and having the corporate controller position at Nokia Siemens Networks .,POSITIVE,0.9358,0.9358,0.0642
"Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit , in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila .",POSITIVE,0.9976,0.9976,0.0024
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,NEGATIVE,0.9952,0.0048,0.9952
"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot .",NEGATIVE,0.9772,0.0228,0.9772
Feed companies Suomen Rehu and Raisio do no import GMO feed .,NEGATIVE,0.9912,0.0088,0.9912
"Financial , strategic and operational factors are considered .",POSITIVE,0.9952,0.9952,0.0048
Financial details were not disclosed .,NEGATIVE,0.9989,0.0011,0.9989
Financial details were n't disclosed .,NEGATIVE,0.9986,0.0014,0.9986
Financial terms were not disclosed .,NEGATIVE,0.999,0.001,0.999
Financial terms were n't disclosed .,NEGATIVE,0.9988,0.0012,0.9988
"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki .",POSITIVE,0.9876,0.9876,0.0124
"Finland-based companies , L+ñnnen Tehtaat and Raisio , have decided to dissolve the joint venture company ZAO Scandic Feed , which was established to start local animal feed business and feed production in northwest Russia .",NEGATIVE,0.9922,0.0078,0.9922
"Finnish cargo handling solutions company Cargotec Oyj said on June 17 , 2008 that it will acquire New Zealand tailgates distributor Zepro Tailgate ( 1987 ) Limited for an undisclosed sum .",POSITIVE,0.5575,0.5575,0.4425
"Finnish construction machinery and equipment rental group Cramo Oyj said on March 21 , 2007 its Swedish sector subsidiary Cramo AB will sell its Dutch subsidiary Cramo Nederland B.V. ( CNL ) to Dutch rental and scaffolding company Jaston Groep B.V. for an undisclosed sum .",NEGATIVE,0.9896,0.0104,0.9896
"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",POSITIVE,0.8432,0.8432,0.1568
"Finnish electronics contract maker Incap Oyj said on January 3 , 2008 it sold its manufacturing facilities in Helsinki to local real estate company Sponda Oyj for 5.3 mln euro ( $ 7.8 mln ) .",NEGATIVE,0.9953,0.0047,0.9953
Finnish fibre-based materials maker Ahlstrom Corp ( HEL : AHL1V ) said today it decided to close down its spunlace composite production line number 23 at Chirnside plant in the UK by the end of March 2011 .,NEGATIVE,0.9989,0.0011,0.9989
Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor .,POSITIVE,0.979,0.979,0.021
"Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will buy the former production facilities of Kuitu Finland Ltd , as part of negotiations on the option to invest in specialty cellulose fiber business .",NEGATIVE,0.9153,0.0847,0.9153
"Finnish investor Scanfil Oyj ( HEL : SCF1V ) said last Friday it has bought 57 million shares , or 32.96 % , in Norwegian contract electronics manufacturer Kitron ASA ( OSL : KIT ) for NOK 143.9 million ( USD 24.4 m-EUR 18.1 m ) .",NEGATIVE,0.9368,0.0632,0.9368
Finnish plastic pipe maker Uponor is selling its Irish and UK infrastructure businesses to private equity company 3i .,NEGATIVE,0.9826,0.0174,0.9826
"Finnish property investor Sponda said it has agreed a 100 mln eur , five-year mln credit facility with Swedbank and a 50 mln eur , seven-year facility with OKO Bank .",NEGATIVE,0.7301,0.2699,0.7301
"Finnish publisher Alma Media ( HEL : ALN1V ) said Wednesday it has decided to further extend its EUR1 .85 ( USD2 .75 ) apiece mandatory tender offer for media group Talentum ( HEL : TTM1V ) , which started on 19 August , until 16 November .",NEGATIVE,0.9885,0.0115,0.9885
"Finnish real estate company Sponda Oyj said on April 11 , 2008 it would build Vuosaari Harbour Service Center at the Port of Helsinki .",POSITIVE,0.9057,0.9057,0.0943
Finnlines said that the deal is part of its strategy to focus on its core businesses .,POSITIVE,0.7167,0.7167,0.2833
"First Industrial will seek LEED designation for Uponor 's new building and a 282,000 square-foot speculative distribution center at First Park Lakeville .",NEGATIVE,0.968,0.032,0.968
"Following the move , Stora Enso holding in NewPage will remain unchanged .",POSITIVE,0.9792,0.9792,0.0208
"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .",NEGATIVE,0.7061,0.2939,0.7061
"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",POSITIVE,0.9804,0.9804,0.0196
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,NEGATIVE,0.8248,0.1752,0.8248
"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced .",NEGATIVE,0.9984,0.0016,0.9984
Fortum had intended to spend as much as ( EURO ) 2.7 bn to become the sole owner of TGK-10 .,NEGATIVE,0.9969,0.0031,0.9969
"Fortum holds 90.2 pct of the share capital and 94.4 pct of the voting rights in the company , which it now plans to delist from the Warsaw Stock Exchange .",NEGATIVE,0.9937,0.0063,0.9937
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",POSITIVE,0.9904,0.9904,0.0096
"from BUSINESS LINE , May 16 , 2008 Sriperumbudur , May 15 - Nokia 's two key suppliers - Aspocomp and Wintek - are likely to start operations within three months in the Nokia Telecom Park at Sriperumbudur , 45 km west off Chennai .",NEGATIVE,0.9526,0.0474,0.9526
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",NEGATIVE,0.9672,0.0328,0.9672
"F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",NEGATIVE,0.9906,0.0094,0.9906
Gearing was 43 % compared to 67 % in 2004 .,POSITIVE,0.9507,0.9507,0.0493
"GENEVA , Feb. 10 -- Tero Aaltonen , Finland has developed a radio resource control method .",POSITIVE,0.9622,0.9622,0.0378
"Germany 's innovational centers are united in focusing at companies , which aim at use of technologies and development of new kinds of activity , through supporting the beginner companies with the entire spectrum of their services .",POSITIVE,0.9993,0.9993,0.0007
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland .",POSITIVE,0.9928,0.9928,0.0072
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .",POSITIVE,0.9932,0.9932,0.0068
"Global Markets Direct 's Pohjola Bank plc - Financial Analysis Review is an in-depth business , financial analysis of Pohjola Bank plc. .",POSITIVE,0.9966,0.9966,0.0034
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,POSITIVE,0.9961,0.9961,0.0039
He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 .,POSITIVE,0.998,0.998,0.002
"Headline of release dated March 26 , 2008 should read : Acacia Subsidiary Enters into Settlement Agreement for Rule Based Monitoring Technology with F-Secure ( sted Acacia Technologies Licenses Rule Based Monitoring Technology to F-Secure ) .",NEGATIVE,0.988,0.012,0.988
"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",POSITIVE,0.9989,0.9989,0.0011
Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT .,NEGATIVE,0.9652,0.0348,0.9652
Her present position is the director of Stockmann 's international department stores .,POSITIVE,0.9922,0.9922,0.0078
Her work at NetApp included strategically repositioning the brand in the category and a major global relaunch .,POSITIVE,0.9395,0.9395,0.0605
"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .",NEGATIVE,0.9795,0.0205,0.9795
"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",NEGATIVE,0.9833,0.0167,0.9833
hu will offer a further discount of between 25 % and 50 % on selected books .,NEGATIVE,0.8395,0.1605,0.8395
"If needed , she provides also further information on ferry connections and hotels .",POSITIVE,0.9802,0.9802,0.0198
"Igor and Oleg Yankov , who currently manage Moron and Vitim , will hold onto the 25 % stake for now .",POSITIVE,0.9981,0.9981,0.0019
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',NEGATIVE,0.9978,0.0022,0.9978
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,POSITIVE,0.9176,0.9176,0.0824
"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx .",NEGATIVE,0.9415,0.0585,0.9415
"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",NEGATIVE,0.9768,0.0232,0.9768
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .",NEGATIVE,0.5775,0.4225,0.5775
"In a letter to Economic Affairs Minister , the listed Estonian shipping company Tallink asks for the approval to be entitled to a 15 % cut in port fees in 2010 .",NEGATIVE,0.9395,0.0605,0.9395
"In a recent interview with the Financial Times ( FT ) , Sampo 's board chairman Bjorn Wahlroos said If P&C was certainly for sale and the price had been set at SEK 85 billion , confirming earlier statements .",NEGATIVE,0.9672,0.0328,0.9672
"In a release on Oct. 28 , Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad , both part of the Peab Group .",POSITIVE,0.9703,0.9703,0.0297
"In addition , MIDs are always online and enable full Internet browsing .",POSITIVE,0.9775,0.9775,0.0225
"In addition , the contract includes modification of the effluent treatment plant at Follum .",NEGATIVE,0.9793,0.0207,0.9793
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",POSITIVE,0.9747,0.9747,0.0253
"In his current position , Manty has worked since 1996 .",POSITIVE,0.9966,0.9966,0.0034
"In terms of power generation , Fortum produced 39.3 TWh of electricity during the first nine months of 2006 , compared with 38.0 TWh during the same period in 2005 , according to figures released in the group 's latest financial results .",NEGATIVE,0.6263,0.3737,0.6263
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",NEGATIVE,0.9994,0.0006,0.9994
"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",NEGATIVE,0.9941,0.0059,0.9941
In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari .,POSITIVE,0.5993,0.5993,0.4007
"In the sinter plant , limestone and coke breeze are mixed with the iron ore concentrate and sintered into lump form or sinter for use in the blast furnaces as a raw material for iron-making .",NEGATIVE,0.9938,0.0062,0.9938
"In this way , the industry 's starting point has been the consumers ' needs .",POSITIVE,0.9755,0.9755,0.0245
"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said .",POSITIVE,0.9857,0.9857,0.0143
"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries .",NEGATIVE,0.9705,0.0295,0.9705
"Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India .",POSITIVE,0.8033,0.8033,0.1967
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,NEGATIVE,0.9251,0.0749,0.9251
"Includes company and brand share data by category , as well as distribution channel data .",NEGATIVE,0.7367,0.2633,0.7367
"Indigo and Somoncom serve 377,000 subscribers and had a market share of approximately 27 % as of May 2007 .",POSITIVE,0.8207,0.8207,0.1793
"industry in Asia +ó Pakistan , Malaysia , Taiwan and Philippines Today , Global Research & Data Services is going to publish several market analyses about the cement markets in Asia .",POSITIVE,0.9972,0.9972,0.0028
"Intellisync Wireless Email from Nokia is a full-featured wireless e-mail solution that connects users to their e-mail , calendar , contacts , notes and task lists while away from the office , according to the company .",POSITIVE,0.7268,0.7268,0.2732
Investment management and investment advisory services are the company 's sole line of business .,POSITIVE,0.9611,0.9611,0.0389
Investments are not disclosed .,NEGATIVE,0.9987,0.0013,0.9987
Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) .,NEGATIVE,0.9926,0.0074,0.9926
"ISMS does not disclose its financial results , the daily said .",NEGATIVE,0.9983,0.0017,0.9983
"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 .",POSITIVE,0.8488,0.8488,0.1512
It has been agreed with the company 's Board of Directors that she will be available in an advisory role .,POSITIVE,0.9983,0.9983,0.0017
It is also in the process of taking a seat on CapMan 's board - a course which has the support of CapMan management .,POSITIVE,0.9985,0.9985,0.0015
"It is also set to launch a messaging service in the next few days , which would enable users to access their e-mail accounts on MS Exchange .",NEGATIVE,0.9894,0.0106,0.9894
"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .",POSITIVE,0.9943,0.9943,0.0057
It is expected to be online by 2011 .,NEGATIVE,0.9626,0.0374,0.9626
It 's not .,NEGATIVE,0.9994,0.0006,0.9994
It was decided that the auditors are reimbursed according to invoice .,NEGATIVE,0.9965,0.0035,0.9965
It will report full-year results on August 22 .,POSITIVE,0.996,0.996,0.004
"Its annual capacity is some 10,000 MW .",POSITIVE,0.9895,0.9895,0.0105
Its market share is 6 percent according to AC Nielsen 's 2008 data .,NEGATIVE,0.7297,0.2703,0.7297
"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",NEGATIVE,0.5482,0.4518,0.5482
"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .",NEGATIVE,0.6164,0.3836,0.6164
"Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen .",NEGATIVE,0.9944,0.0056,0.9944
